symbol,name,sector
TPIA.JK,Chandra Asri,Basic Materials
TPMA.JK,,
TRAM.JK,,
TRGU.JK,,
TRIL.JK,,
TRIM.JK,,
TRIN.JK,,
TRIO.JK,,
TRIS.JK,,
TRJA.JK,,
TRON.JK,,
TRST.JK,,
TRUE.JK,,
TRUK.JK,,
TRUS.JK,,
TSPC.JK,,
TUGU.JK,,
TURI.JK,,
TYRE.JK,,
UANG.JK,,
UCID.JK,,
UDNG.JK,,
UFOE.JK,,
ULTJ.JK,,
UNIC.JK,,
UNIQ.JK,,
UNIT.JK,,
UNSP.JK,,
UNTD.JK,,
UNTR.JK,United Tractors,Industrials
UNVR.JK,Unilever Indonesia,Consumer Defensive
URBN.JK,,
UVCR.JK,,
VAST.JK,,
VERN.JK,,
VICI.JK,,
VICO.JK,,
VINS.JK,,
VISI.JK,,
VIVA.JK,,
VKTR.JK,,
VOKS.JK,,
VRNA.JK,,
VTNY.JK,,
WAPO.JK,,
WEGE.JK,,
WEHA.JK,,
WGSH.JK,,
WICO.JK,,
WIDI.JK,,
WIFI.JK,,
WIIM.JK,,
WIKA.JK,Wijaya Karya,Industrials
WINE.JK,,
WINR.JK,,
WINS.JK,,
WIRG.JK,,
WMPP.JK,,
WMUU.JK,,
WOMF.JK,,
WOOD.JK,,
WOWS.JK,,
WSBP.JK,,
WSKT.JK,Waskita Karya,Industrials
WTON.JK,,
YELO.JK,,
YOII.JK,,
YPAS.JK,,
YULE.JK,,
ZATA.JK,,
ZBRA.JK,,
ZINC.JK,,
ZONE.JK,,
ZYRX.JK,,
